Ranking,CourseName,City,State,Architect,Year,Cost,Coordinates
87,Bay Harbor Golf Club (Links/Quarry),Bay Harbor,MI,Arthur Hills,1996,99-293,"[45.36226,-85.050738]"
88,Wild Horse Golf Club,Gothenburg,NE,Dan Proctor/Dave Axland,1999,45.5-66,"[40.955678,-100.193749]"
89,Tobacco Road Golf Club,Sanford,NC,Mike Strantz,1998,49-134,"[35.397277,-79.213457]"
90,Lakota Canyon Ranch & Golf Club,New Castle,CO,Jim Engh,2004,99,"[39.586275,-107.51796]"
91,Circling Raven Golf Club,Worley,ID,Gene Bates,2003,65-95,"[47.425993,-116.963923]"
92,Sunday River Golf Club,Newry,ME,Robert Trent Jones II,2005,89-129,"[44.488258,-70.887615]"
93,Pelican Hill Golf Club (Ocean South),Newport Coast,CA,Tom Fazio,1991,305,"[33.585072,-117.840857]"
94,La Quinta Resort (Mountain),La Quinta,CA,Pete Dye,1980,89-269,"[33.683185,-116.311933]"
95,The Golf Club at Redlands Mesa,Grand Junction,CO,Jim Engh,2001,63-105,"[39.056358,-108.621125]"
96,Pinehurst Resort(No. 8),Pinehurst,NC,Tom Fazio,1996,150-240,"[35.19521,-79.475978]"
97,Rustic Canyon Golf Course,Moorpark,CA,G. Hanse/J. Wagner/G. Shackelford,2001,36-81,"[34.312072,-118.867755]"
98,Grayhawk Golf Club (Talon),Scottsdale,AZ,David Grahm/Gary Panks,1994,60-295,"[33.678078,-111.897358]"
99,Coeur d'Alene Resort,Coeur d'Alene,ID,Scott Miller,1991,125-225,"[47.426871,-116.978178]"
100,The Boulders Club(South),Carefree,AZ,Jay Morrish,1984,55-195,"[33.803251,-111.918238]"
