ClassName,CourseName,City,State
linville_golf_club,Linville Golf Club,Linville,NC
sahalee,Sahalee,Sammamish,WA
the_heritage_club,The Heritage Club,Pawleys Island,SC
ventana_canyonmountain,Ventana Canyon(Mountain),Tucson,AZ
ak_chin_southern_dunes_golf_club,Ak-Chin Southern Dunes Golf Club,Maricopa,AZ
stonewater,Stonewater,Highland Heights,OH
cypress_point,Cypress Point,Del Monte Forest,CA
the_creek_club,The Creek Club,Locust Valley,NY
streamsong_resort_red,Streamsong Resort (Red),Bowling Green,FL
maidstone,Maidstone,East Hampton,NY
eagle_ridgegeneral,Eagle Ridge(General),Galena,IL
new_seabury_blue,New Seabury (Blue),Mashpee,MA
dormie_club,Dormie Club,West End,NC
pinehurst_resortno_4,Pinehurst Resort(No. 4),Pinehurst,NC
pete_dye_golf_club,Pete Dye Golf Club,Bridgeport,WV
pinehurst_resortno_8,Pinehurst Resort(No. 8),Pinehurst,NC
red_sky_ranch__golf_clubfazio,Red Sky Ranch & Golf Club(Fazio),Edwards,CO
the_golf_club_at_black_rock,The Golf Club at Black Rock,Coeur d'Alene,ID
granite_links_granite_milton,Granite Links (Granite_Milton),Milton,MA
maderas_golf_club,Maderas Golf Club,Poway,CA
atunyote_at_turning_stone_resort,Atunyote at Turning Stone Resort,Vernon,NY
the_preserve,The Preserve,Carmel-by-the-Sea,CA
coyote_springs_chase,Coyote Springs (Chase),Moapa,NV
augusta_national,Augusta National,Augusta,GA
myopia_hunt_club,Myopia Hunt Club,Wenham,MA
tigers_eye,Tiger's Eye,Ocean Isle Beach,NC
bully_pulpit,Bully Pulpit,Medora,ND
weaverridge,WeaverRidge,Peoria,IL
the_bull_at_pinehurst_farms,The Bull at Pinehurst Farms,Sheboygan Falls,WI
taconic_golf_club,Taconic Golf Club,Williamstown,MA
somerset_hills,Somerset Hills,Bernardsville,NJ
omni_barton_creek_resort_fazio_foothills,Omni Barton Creek resort (Fazio Foothills),Austin,TX
flint_hills,Flint Hills,Andover,KS
the_prince_at_princeville,The Prince at Princeville,Princeville,HI
medinah_no3,Medinah (No.3),Itasca,IL
pelican_hill_golf_club_ocean_north,Pelican Hill Golf Club (Ocean North),Newport Beach,CA
mountain_lake,Mountain Lake,Lake Wales,FL
valley_club_of_montecito,Valley Club of Montecito,Montecito,CA
crystal_downs,Crystal Downs,Frankfort,MI
brickyard_crossing,Brickyard Crossing,Speedway,IN
plainfield,Plainfield,Edison,NJ
caves_valley,Caves Valley,Owings Mills,MD
tpc_myrtle_beach,TPC Myrtle Beach,Murrells Inlet,SC
sunday_river_golf_club,Sunday River Golf Club,Newry,ME
jupiter_hills,Jupiter Hills,Jupiter,FL
greenville_country_club_chanticleer,Greenville Country Club (Chanticleer),Greenville,SC
the_boulders_clubsouth,The Boulders Club(South),Scottsdale,AZ
the_country_clubclyde_squirrel,The Country Club(Clyde_Squirrel),Brookline,MA
mountaintop,Mountaintop,Cashiers,NC
forest_highlands,Forest Highlands,Flagstaff,AZ
the_challenge_at_manele,The Challenge at Manele,Wailuku,HI
fishers_island,Fishers Island,Fishers Island,NY
sand_hills,Sand Hills,Mullen,NE
lakewood_shoresgailes,Lakewood Shores(Gailes),Howell,MI
old_waverly_golf_club,Old Waverly Golf Club,West Point,MS
grand_bear,Grand Bear,Saucier,MS
baltusrol_upper,Baltusrol (Upper),Springfield Township,NJ
long_cove,Long Cove,Hilton Head Island,SC
colonial,Colonial,Fort Worth,TX
caledonia_golf__fish_club,Caledonia Golf & Fish Club,Pawleys Island,SC
los_angelesnorth,Los Angeles(North),Los Angeles,CA
newport,Newport,Newport,RI
golden_horseshow_golf_club_gold,Golden Horseshow Golf Club (Gold),Williamsburg,VA
the_dunes,The Dunes,New Buffalo,MI
bandon_trails,Bandon Trails,Bandon,OR
diamond_creek,Diamond Creek,Banner Elk,NC
stanwich_club,Stanwich Club,Greenwich,CT
the_bridge,The Bridge,Sag Harbor,NY
mauna_kea_golf_course,Mauna Kea Golf Course,Waimea,HI
grand_national_links,Grand National (Links),Opelika,AL
blue_heron_pines_east,Blue Heron Pines (East),Egg Harbor City,NJ
wynn_las_vegas,Wynn Las Vegas,Las Vegas,NV
cambrian_ridgesherling_canyon,Cambrian Ridge(Sherling_Canyon),Greenville,AL
sentryworld,SentryWorld,Stevens Point,WI
donald_ross_course_at_french_lick,Donald Ross Course at French Lick,French Lick,IN
primm_valley_lakes,Primm Valley (Lakes),Nipton,CA
pelican_hill_golf_club_ocean_south,Pelican Hill Golf Club (Ocean South),Newport Beach,CA
tradition_at_royal_new_kent,Tradition at Royal New Kent,Providence Forge,VA
mystic_rock_at_newacolin_woodlands_resort,Mystic Rock at Newacolin Woodlands Resort,Farmington,PA
the_glen_club,The Glen Club,Glenview,IL
purgatory,Purgatory,Noblesville,IN
tpc_louisiana,TPC Louisiana,Avondale,LA
pasatiempo,Pasatiempo,Santa Cruz,CA
desert_forest,Desert Forest,Carefree,AZ
running_y_ranch,Running Y Ranch,Klamath Falls,OR
castle_pines,Castle Pines,Castle Pines,CO
atlantic,Atlantic,Water Mill,NY
calusa_pines,Calusa Pines,Naples,FL
troon_north_golf_club_pinnacle,Troon North Golf Club (Pinnacle),Scottsdale,AZ
promontory_dye_canyon,Promontory (Dye Canyon),Park City,UT
wild_dunes_links,Wild Dunes (Links),Isle of Palms,SC
murfield_village,Murfield Village,Dublin,OH
turtle_point,Turtle Point,Kiawah Island,SC
pumpkin_ridge_golf_club_ghost_creek,Pumpkin Ridge Golf Club (Ghost Creek),North Plains,OR
old_warson,Old Warson,St. Louis,MO
dunes_golf_&_beach_club,Dunes Golf & Beach Club,Myrtle Beach,SC
stonewall_palmer,Stonewall (Palmer),Weston,WV
cordillera_summit,Cordillera (Summit),Edwards,CO
wilderness_club,Wilderness Club,Eureka,MT
twin_warriors,Twin Warriors,Bernalillo,NM
the_golf_club_at_cuscowilla,The Golf Club at Cuscowilla,Eatonton,GA
true_north,True North,Harbor Springs,MI
hazeltine_national,Hazeltine National,Chaska,MN
country_club_of_fairfield,Country Club of Fairfield,Fairfield,CT
omni_barton_creek_resort_fazio_canyons,Omni Barton Creek resort (Fazio Canyons),Austin,TX
cherry_hills,Cherry Hills,Cherry Hills Village,CO
tetherow_golf_club,Tetherow Golf Club,Bend,OR
crumpin_fox,Crumpin Fox,Bernardston,MA
interlachen,Interlachen,Edina,MN
friars_head,Friar's Head,Riverhead,NY
merion_east,Merion (East),Ardmore,PA
marquette_golf_club_greywalls,Marquette Golf Club (Greywalls),Marquette,MI
