ClassName,CourseName,City,State
may_river_golf_club_at_palmetto_bluff,May River Golf Club at Palmetto Bluff,Bluffton,SC
the_links_at_spanish_bay,The Links at Spanish Bay,Del Monte Forest,CA
we_ko_pa_golf_club_cholla,We-Ko-Pa Golf Club (Cholla),Scottsdale,AZ
coeur_dalene_resort,Coeur d'Alene Resort,Worley,ID
bayside_resort,Bayside Resort,Selbyville,DE
grayhawk_golf_club_raptor,Grayhawk Golf Club (Raptor),Scottsdale,AZ
jupiter_hillshills,Jupiter Hills(Hills),Jupiter,FL
canterbury,Canterbury,Beachwood,OH
blackwolf_runmeadow_valleys,Blackwolf Run(Meadow Valleys),Kohler,WI
rivers_edge,River's Edge,Shallotte,NC
pinehills_golf_clubjones,Pinehills Golf Club(Jones),Plymouth,MA
kauai_lagoonskiele,Kauai Lagoons(Kiele),Lihue,HI
atlantic_city_country_club,Atlantic City Country Club,Northfield,NJ
atlanta_country_club,Atlanta Country Club,Marietta,GA
arnold_palmers_bay_hill_club_championship,Arnold Palmer's Bay Hill Club (Championship),Orlando,FL
holston_hills,Holston Hills,Knoxville,TN
ridgewood_west_east,Ridgewood (West_East),Paramus,NJ
eastward_ho,Eastward Ho,Chatham,MA
forest_dunes_golf_club,Forest Dunes Golf Club,Roscommon,MI
olympiclake,Olympic(Lake),San Francisco,CA
omni_homestead_cascades,Omni Homestead (Cascades),Hot Springs,VA
whistling_straits_straits,Whistling Straits (Straits),Sheboygan,WI
wilderness_at_fortune_bay,Wilderness at Fortune Bay,Tower,MN
mauna_laninorth,Mauna Lani(North),Waimea,HI
cog_hill_no_4,Cog Hill (No. 4),Lemont,IL
hualalai_golf_course,Hualalai Golf Course,Kailua-Kona,HI
grand_traverse_the_bear,Grand Traverse (The Bear),Williamsburg,MI
pikewood_national,Pikewood National,Morgantown,WV
the_quarry_at_giants_ridge,The Quarry at Giants Ridge,Aurora,MN
belgrade_lakes_golf_course,Belgrade Lakes Golf Course,Belgrade,ME
ncr_country_club_south,NCR Country Club (South),Kettering,OH
baltusrol_lower,Baltusrol (Lower),Springfield Township,NJ
great_river,Great River,Milford,CT
spring_creek_golf_club,Spring Creek Golf Club,Gordonsville,VA
boyne_highlands_heather,Boyne Highlands (Heather),Harbor Springs,MI
the_rim,The Rim,Payson,AZ
pronghorn_golf_club__resort_nicklaus,Pronghorn Golf Club & Resort (Nicklaus),Bend,OR
old_works_golf_course,Old Works Golf Course,Anaconda,MT
victoria_national,Victoria National,Boonville,IN
kinloch,Kinloch,Manakin-Sabot,VA
deacons_lodge_at_grand_view_lodge,Deacon's Lodge at Grand View Lodge,Breezy Point,MN
the_broadmoor_east,The Broadmoor (East),Colorado Springs,CO
world_woods_pine_barrens,World Woods (Pine Barrens),Brooksville,FL
darkhorse,DarkHorse,Auburn,CA
nanea,Nanea,Kailua-Kona,HI
trump_national_doral_blue_monster,Trump National Doral (Blue Monster),Doral,FL
trump_national_bedminister_old,Trump National Bedminister (Old),Bedminster Township,NJ
black_diamond_ranchquarry,Black Diamond Ranch(Quarry),Alachua,FL
the_links_at_lighthouse_sound,The Links at Lighthouse Sound,Bishopville,MD
the_honors_course,The Honors Course,Ooltewah,TN
lake_of_isles_north,Lake of Isles (North),North Stonington,CT
ballyneal,Ballyneal,Holyoke,CO
double_eagle,Double Eagle,Galena,OH
sand_ridge,Sand Ridge,Chardon,OH
iron_bridge,Iron Bridge,Glenwood Springs,CO
essex_country_club,Essex Country Club,Manchester-by-the-Sea,MA
