name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Caledonia Golf & Fish Club,33.472206,-79.13457,Pawleys Island,http://www.golfadvisor.com//courses/14625-caledonia-golf-fish-club/,33.45272965,-79.15462732,Caledonia Golf & Fish Club,14625,//cdn.gdol.com/app/courses/image/thumb/1534.jpg,140,72.1,70,18,6526
Pete Dye Golf Club,39.329464,-80.30063,Bridgeport,http://www.golfadvisor.com//courses/14629-pete-dye-golf-club/,39.32968673,-80.30156624,Pete Dye Golf Club,14629,//cdn.gdol.com/app/courses/image/thumb/67149.jpg,144,75.7,72,18,7353
The Greenbrier (Old White TPC),37.783509,-80.31688,White Sulphur Springs,http://www.golfadvisor.com//courses/14630-greenbrier-old-white-tpc-course/,37.79520324,-80.31516552,Greenbrier - Old White TPC Course,14630,//cdn.gdol.com/app/courses/image/thumb/65373.jpg,141,75.7,70,18,7287
Whistling Straits (Straits),43.851,-87.73,Sheboygan,http://www.golfadvisor.com//courses/14635-straits-golf-course-at-whistling-straits/,43.83972728,-87.73046494,Straits Golf Course at Whistling Straits,14635,//cdn.gdol.com/app/courses/image/thumb/20231.jpg,152,77.2,72,18,7790
Forest Highlands,35.104004,-111.70422,Flagstaff,http://www.golfadvisor.com//courses/14687-meadow-at-forest-highlands-golf-club/,35.10604459,-111.718345,Meadow at Forest Highlands Golf Club,14687,//cdn.gdol.com/app/courses/image/thumb/34420.jpg,130,73.3,72,18,7262
Apache Stronghold,33.365433,-110.669067,San Carlos,http://www.golfadvisor.com//courses/14694-apache-stronghold-golf-course/,33.36051697,-110.6706959,Apache Stronghold Golf Course,14694,//cdn.gdol.com/app/courses/image/thumb/22298.jpg,145,74.6,72,18,7519
TPC Myrtle Beach,33.58383,-79.064134,Murrells Inlet,http://www.golfadvisor.com//courses/1488-tpc-myrtle-beach/,33.58462902,-79.0633893,TPC Myrtle Beach,1488,//cdn.gdol.com/app/courses/image/thumb/466.jpg,144,74.1,72,18,6950
Barefoot Resort (Love),33.806604,-78.75654,North Myrtle Beach,http://www.golfadvisor.com//courses/1492-barefoot-resort-golf-love-course/,33.8056822,-78.77029896,Barefoot Resort & Golf - Love Course,1492,//cdn.gdol.com/app/courses/image/thumb/2017.jpg,139,75.1,72,18,7047
Barefoot Resort (Fazio),33.807329,-78.75391,North Myrtle Beach,http://www.golfadvisor.com//courses/1493-barefoot-resort-golf-fazio-course/,33.81830477,-78.74922752,Barefoot Resort & Golf - Fazio Course,1493,//cdn.gdol.com/app/courses/image/thumb/2018.jpg,145,73.2,71,18,6834
PGA West (TPC Stadium),33.652184,-116.25937,La Quinta,http://www.golfadvisor.com//courses/14934-pga-west-stadium-course/,33.65163698,-116.2600708,PGA West Stadium Course,14934,//cdn.gdol.com/app/courses/image/thumb/61451.jpg,150,76.1,72,18,7300
Riviera,34.05,-118.501,Los Angeles,http://www.golfadvisor.com//courses/14936-the-riviera-country-club/,34.05001043,-118.5023332,The Riviera Country Club,14936,//cdn.gdol.com/app/courses/image/thumb/3522.jpg,137,75.6,71,18,7366
Cypress Point,36.5791272,-121.963845,Del Monte Forest,http://www.golfadvisor.com//courses/14937-cypress-point-club/,36.58041891,-121.9733852,Cypress Point Club,14937,//cdn.gdol.com/app/courses/image/thumb/65070.jpg,140,72.1,72,18,6524
Olympic (Lake),37.709,-122.49,San Francisco,http://www.golfadvisor.com//courses/14938-lake-at-olympic-club-the/,37.71017096,-122.4890614,"Lake at Olympic Club, The",14938,//cdn.gdol.com/app/courses/image/thumb/15736.jpg,143,75.7,70,18,7162
San Francisco Golf Club,37.712,-122.47,San Francisco,http://www.golfadvisor.com//courses/14939-san-francisco-golf-club/,37.71278514,-122.4771202,San Francisco Golf Club,14939,//cdn.gdol.com/app/courses/image/thumb/33378.jpg,136,74.1,71,18,6828
